"game_id","internal_name","provider.internal_name"
"130300000","American Roulette","Bgaming"
"130300002","Aztec Magic Deluxe","Bgaming"
"130300004","Multihand Blackjack Pro","Bgaming"
"130300007","Book of Pyramids","Bgaming"
"130300017","European Roulette","Bgaming"
"130300019","Fire Lightning","Bgaming"
"130300020","French Roulette","Bgaming"
"130300022","Heads and Tails","Bgaming"
"130300026","Jogo Do Bicho","Bgaming"
"130300029","Lucky Lady's Clover","Bgaming"
"130300032","Minesweeper","Bgaming"
"130300033","Multihand Blackjack","Bgaming"
"130300036","Platinum Lightning","Bgaming"
"130300040","Rocket Dice","Bgaming"
"130300041","Scratch Dice","Bgaming"
"130300048","West Town","Bgaming"
"130300090","Acceptance test","Bgaming"
"130300093","Spin and Spell","Bgaming"
"130300094","Plinko","Bgaming"
"130300095","Deep Sea","Bgaming"
"130300096","Avalon: The Lost Kingdom","Bgaming"
"130300097","Four Lucky Clover ","Bgaming"
"130300098","Elvis Frog in Vegas","Bgaming"
"130300099","Book of Cats","Bgaming"
"130300100","All Lucky Clovers 5","Bgaming"
"130300101","Johnny Cash","Bgaming"
"130300102","Lady Wolf Moon","Bgaming"
"130300103","Fruit Million","Bgaming"
"130300104","Hit the Route","Bgaming"
"130300105","Four Lucky Diamonds","Bgaming"
"130300106","Mechanical Clover","Bgaming"
"130300107","WBC Ring of Riches","Bgaming"
"130300108","Dig Dig Digger","Bgaming"
"130300109","Aloha King Elvis","Bgaming"
"130300110","Dragon's Gold 100","Bgaming"
"130300111","Miss Cherry Fruits","Bgaming"
"130300112","Candy Monsta","Bgaming"
"130300113","Lucky Dama Muerta","Bgaming"
"130300114","Road 2 Riches","Bgaming"
"130300116","Bonanza Billion","Bgaming"
"130300117","Space XY","Bgaming"
"130300118","Aztec Magic MEGAWAYS™","Bgaming"
"130300119","Heads and Tails XY","Bgaming"
"130300120","Rocket Dice XY","Bgaming"
"130300121","Minesweeper XY","Bgaming"
"130300122","Plinko XY","Bgaming"
"130300123","Aztec Magic Bonanza","Bgaming"
"130300124","Joker Queen","Bgaming"
"130300125","Clover Bonanza","Bgaming"
"130300126","Lucky Farm Bonanza","Bgaming"
"130300127","Wild Cash","Bgaming"
"130300128","Penny Pelican","Bgaming"
"130300129","Big Atlantis Frenzy","Bgaming"
"130300130","Gold Rush with Johnny Cash","Bgaming"
"130300131","Lady Wolf Moon Megaways","Bgaming"
"130300132","Maneki 88 Gold","Bgaming"
"130300133","Wild Cash x9990","Bgaming"
"130300134","Forty Fruity Million","Bgaming"
"130300135","Beer Bonanza","Bgaming"
"130300136","Halloween Bonanza","Bgaming"
